product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
4681,15933,15933,7.1,12.0,85.19999999999999,-0.911505945848698,False
4965,16586,16586,7.1,26.0,184.6,-0.911505945848698,False
5722,15026,15026,7.1,19.0,134.9,-0.911505945848698,False
4963,15958,15958,7.0,2.0,14.0,-0.915098465311332,False
4923,15928,15928,7.0,10.0,70.0,-0.915098465311332,False
4776,14302,14302,6.8,7.0,47.6,-0.9222835042365998,False
4105,16504,16504,6.8,5.0,34.0,-0.9222835042365998,False
4207,16023,16023,6.7,5.0,33.5,-0.9258760236992336,False
5695,16304,16304,6.5,14.0,91.0,-0.9330610626245014,False
4927,15425,15425,6.5,4.0,26.0,-0.9330610626245014,False
4858,16342,16342,6.5,1.0,6.5,-0.9330610626245014,False
4680,15934,15934,6.3,2.0,12.6,-0.9402461015497692,False
4200,16295,16295,5.8,46.0,266.8,-0.9582086988629386,False
4198,16322,16322,5.8,0.0,0.0,-0.9582086988629386,False
5778,15561,15561,5.8,24.0,139.2,-0.9582086988629386,False
5779,16213,16213,5.8,8.0,46.4,-0.9582086988629386,False
5777,14338,14338,5.7,0.0,0.0,-0.9618012183255724,False
4174,16209,16209,5.7,6.0,34.2,-0.9618012183255724,False
4173,16211,16211,5.7,13.0,74.10000000000001,-0.9618012183255724,False
4172,16210,16210,5.7,43.0,245.1,-0.9618012183255724,False
6129,14570,14570,5.2,0.0,0.0,-0.9797638156387418,False
